ID,Table code,Theory/framework/methodology,Literal definition,Primary approach,Secondary approach
TCA3_049,Table SM.3.49,Feminist political ecology,"Feminist political ecology is a diverse literature, grounded in feminist theories of power and inequality, that shows how social and environmental change emerge from histories of colonial capitalist exploitation and their on-going legacies (Mollett & Faria, 2018). It is distinguished from other socio-environmental theories by its attention to how power operates in the everyday, through subjectivities and scales, creating social and geopolitical inequalities based on gender, race, class, caste, ability and other embodied differences (Mollett & Faria, 2018; Sultana, 2021). Power is not simply ‘power over’ but also ‘power to’ and ‘power for’. Feminist political ecology shows how subjectivities shape uneven exposure to environmental hazards (Di Chiro, 2021; Gergan, 2020; Lyons, 2023), access to, distribution of and control over resources and knowledge of environmental change (Harcourt & Nelson, 2015; Sultana, 2021). Feminist political ecology is most often grounded in performative and emergent ontologies, meaning that relations are never fixed, rather individuals are subjected in multiple ways that change over time, scale and space (Mollett & Faria, 2018). Research attention is thus placed on the conflicts, cooperation, spaces and temporalities through which societies and environments co-evolve. Some feminist political ecology theorists have shown how environments (or non-humans), entangle with power to shape subjectivities , meaning that some people have, for example, greater affective relations with plants and other species (Durand & Sundberg, 2022), environmental destruction shows up in terrestrial and embodied forms (Gergan, 2020; Harcourt & Nelson, 2015; Lyons, 2023) and affective relations are vital to how people cooperate over their environments (González-Hidalgo & Zografos, 2020; Nightingale et al., 2022). These insights have been combined with anti- and de-colonial approaches to environmental change which argue that it is not just humans that impact the environment, but rather that environments are also agents of change, reshaping subjectivities and understandings of environment , bringing species and human communities into particular relations with petrol capitalism (Lyons, 2023), hydropower (Gergan, 2020), climate change (Nightingale et al., 2022) and plants (Durand & Sundberg, 2022). These relations change the geopolitics of hydropower in South Asia (Gergan, 2020), botany knowledge production and conservation in Chiapas, Mexico (Durand & Sundberg, 2022), or how oil companies are held to account when territories are allowed to speak in courtrooms as the case of transitional justice in Colombia (Lyons, 2023).This kind of theoretical move is thus not simply about decentring humans as agents of change and transformation, but a more radical insistence on how human actions have affective consequences for people, other species and territories, wherein local actions spill over to affect wider territories and geopolitics (Di Chiro, 2021; Durand & Sundberg, 2022; Gergan, 2020; Harcourt & Nelson, 2015; Lyons, 2023; Mollett & Faria, 2018; Sultana, 2021).","Empowerment, Inner transformation",Knowledge co-creation
TCA3_050,Table SM.3.50,Decolonial feminisms and ecofeminisms,"Decolonial ecofeminisms focus on the intersection of environmental issues, feminism and decolonization efforts. They also include non-essentialist (Mies & Shiva, 2004) and ‘survivalist’ feminisms (Svampa, 2015). They form a movement to defend territories that ""is born out of obligation and not by choice"" (Svampa, 2015). Decolonial ecofeminisms draw on decolonial theory, decolonial environmental justice, political ecology and degrowth theories to critique and resist the impacts of colonization on nature and people. In line with critical currents of political ecology and environmental justice, they aim to redistribute power, highlighting counter-hegemonic projects with a focus on transformation (Curiel Pichardo, 2007; Espinosa Miñoso, 2016). Such projects have an anti-essentialist approach; that is, they question the naturalisation of the links between white men and culture and between Indigenous Peoples and women and nature. While the protection of territory arises from the close relationship of communities with these, it is also a product of ontological resistance to patriarchy29 and colonialism (Sanchez De Jaegher, 2020).",Empowerment,"Knowledge co-creation, Inner transformation"
TCA3_051,Table SM.3.51,Three horizons,"Three horizons is a framework and practice for exploring the future and change, from the established patterns of activity of the first horizon, to new patterns in the third, through transitional activities in the second (Curry & Hodgson, 2008; Sharpe et al., 2016). The central idea of three horizons is that it draws attention to the three horizons as existing always in the present moment and that there is evidence about the future in how people (including ourselves) are behaving now. The outcome of three horizons work is a map of transformative potential which enables a group to act with more skill, freedom and creativity in the present, both individually and together. The first horizon – H1 is the dominant system at present. It represents ‘business-as-usual’. These systems are relied on as being stable and reliable, but as the world changes, aspects of business-as-usual begin to feel out of place or no longer fit for purpose. Eventually, business-as-usual will always be superseded by new patterns of activity. The third horizon – H3 emerges as the long-term successor to business-as-usual. It grows from fringe activity in the present that introduces completely new ways of doing. The second horizon – H2 is a pattern of transition activities and innovations, people trying things out in response to the ways in which the landscape is changing. Some of these will be sustaining innovations and will be absorbed into the H1 systems to improve them and prolong their life, while some will be transformative and pave the way for the emergence of the radically different H3 systems.",Knowledge co-creation,"Systems, Empowerment"
TCA3_052,Table SM.3.52,Ethnoecology,"Ethnoecology is the discipline that studies the dynamic relationships between humans and their material and immaterial space, by examining how space is perceived by humans (local knowledge) and how humans, according to their ontologies, live their landscapes by transforming and using their natural resources (practices) inspired from (Ellen, 2006). The term ""live"" includes using, managing, transforming and thinking about natural entities, places and spaces on a technical, material and symbolic level, in other words, taking into account all cognitive dimensions; material and immaterial cultures are therefore jointly called upon in ethnoecology. Each human group develops its own unique way of seeing and interacting with the world. The aim of ethnoecology is to show this diversity of singularities and in particular the wealth of links, care, attachments - in short, the commitments of

humans to non-humans and vice versa. These relationships are not only ethical or spiritual, but also physical. Ethnoecology is as interested in the complexity of the human world as it is in that of non-humans or the supranatural; the landscape scale is thus summoned (Hunn & Selam, 1990; Johnson & Davidson-Hunt, 2011). Using a mix of qualitative and quantitative approaches, ethnoecologists are able to probe and analyze local ontologies from a holistic, emic (""from within"") perspective and make them comprehensible to the bearers of other ontologies. Ethnoecology is a discipline based on field observations; ideas and inspirations come from the humans and non-humans encountered. Thus, to understand the processes, relationships, forms of organization and thought of a given social group, it is more important to observe than to investigate with (and not about) the social groups under consideration. It is a way of relating to the subject and the field work a biocultural approach. This type of approach makes it possible to encompass both the biological and cultural aspects of a system and to deal with complex relationships and feedbacks between human and ecological systems (Caillon et al., 2017; Gavin et al., 2015). Ethnoecology is a holistic science of interactions and processes between humans and non-humans.",Knowledge co-creation,"Inner, Empowerment"
TCA3_053,Table SM.3.53,Transformative sustainability science,"Change towards sustainability needs to be transformative and bring about structural, systemic and enabling changes in the way societies are organized and governed (Scoones et al., 2020). Transformative change involves stewarding complex social, cultural, ecological, economic, institutional and technological systems towards more desirable configurations as well as to foster human agency and those capacities necessary to create change (G. Caniglia et al., 2020). Transformative processes simultaneously involve and engage with the practical, political and personal spheres (O’Brien, 2012). The driving and motivating question of transformative sustainability science is: how can knowledge be generated and capacities created to transform societies and generate a more just, inclusive and sustainable world? This new research field aims to generate new knowledge emerging from (and supporting) actions addressing the need for deep and enduring societal changes (Fazey et al., 2018). Such actions are adaptive and emergent processes that enhance learning and build individual and collective capacities to initiate or reinforce plural pathways towards alternative, emancipatory and more desirable futures. In generating knowledge for transformative change, importantly, different knowledge systems and ways of knowing need to be engaged, especially those of marginalized and vulnerable populations, such as Indigenous Peoples (Tengö et al., 2017). Further, different kinds of knowledge are necessary, such as strategic knowledge supporting intentional design of actions, empowering knowledge enhancing shared agency and situated knowledge enabling contextual realization (G. Caniglia et al., 2020). Contributing to transformative change means new, collaborative approaches that consider how to nurture transformations by “taking diverse knowledges seriously,” “taking politics seriously,” and “taking plural pathways seriously” (Scoones et al., 2020). Working with the complexities of (un)sustainability rather involves working recursively with the contrasting values and power dynamics that underlie different views about what it means to create change, for whom is change created and by whom (Turnhout et al., 2020). Social–ecological and socio–technical experiments, place-based and transdisciplinary projects, experiments in real-world laboratories and action-oriented projects in higher education are examples of research aiming to learn how to bring about such change.",Knowledge co-creation,"Science & Technology, Systems, Empowerment, Structural"
TCA3_054,Table SM.3.54,Participatory research,"Participatory research is “an umbrella term for research designs, methods and frameworks that use systematic inquiry in direct collaboration with those affected by the issue being studied for the purpose of action or change” (Vaughn & Jacquez, 2020). It is used in a wide variety of disciplines like sustainability science, health sciences, development studies and education. Consequently, there is considerable variety in the way the concept interpreted and used. Stakeholders (those that can affect or are affected by the issue being researched) are typically involved in co-producing knowledge, often with the intent to help “capture the voices and experiences of under-represented, marginalized or hard-to-reach groups in society” (Schubotz, 2020). In participatory research, power is shifted towards stakeholders, who may be involved in formulating research questions, developing study design, collecting and analyzing data, disseminating findings and/or taking action (Cornwall & Jewkes, 1995; Vaughn & Jacquez, 2020). Stakeholder participation can also vary in extent, from informing (where stakeholder have the least power), to consulting, involving, collaborating with, or empowering stakeholders (most power) (Arnstein, 1969; Vaughn & Jacquez, 2020). It is important to note that participation is not ‘better’ if stakeholders are involved at more stages in the research process or to a greater extent. Rather, it is more important that participation is appropriate to stakeholder needs and wants and the needs of the research in question (Blackstock et al., 2007).",Knowledge co-creation,Empowerment
TCA3_055,Table SM.3.55,Transformative education,"Transformative education is a perspective that begins by acknowledging the most common and significant shortcomings of current education. It addresses the most enduring challenges, such as equity and equality and calls for a redefinition of the purposes and content of education for the 21st century. Transformative education seeks to ensure the right to quality education throughout life, as a public endeavour and a common good, providing learners support to learn to learn, learn to live together, learn to do and learn to be (United Nations, 2022). Within this framework, transformative education strives to articulate a vision that prepares individuals of all ages to address profound socio-environmental crises and challenges, including climate change, environmental degradation, biodiversity loss and nature’s decline, poverty and inequality (O’Brien et al., 2013; United Nations, 2022).

Transformative education promotes knowledge, skills, values and attitudes for effective problem-solving, empathy, creative thinking and critical thinking to thrive in an ever-changing world (Graham & Longchamps, 2022). To achieve this, transformative education is grounded in pedagogical principles and didactic approaches that prioritize several key elements (Graham & Longchamps, 2022): sustainable learning (focusing on the in-depth knowledge and skills in the long term), learner-centredness (Schweisfurtha, 2013), active learning, embodied cognition, integrative teaching methods (ranging from interdisciplinarity to multidisciplinarity and holistic learning) and Science, Technology, Engineering, Arts, Mathematics education (Marín-Marín et al., 2021).

Furthermore, transformative education contributes to the attainment of the Sustainable Development Goals and is an integral part of the Sustainable Development Goals targets on Education for Sustainable Development and Global Citizenship Education (United Nations, 2022). As a result, transformative education often intersects with Environmental Education, Education for Sustainable Development, Biodiversity Education (González Galli et al., 2022) and Education for a Sustainable Future (O’Brien et al., 2013). Education systems can establish the

essential prerequisites for transformative education, including adequate investment and the active involvement of educators, among others (United Nations, 2022).","Inner, Knowledge co-creation","Systems, Structural"
TCA3_056,Table SM.3.56,Local Biodiversity Outlook transitions,"Indigenous Peoples and local communities are significant actors for transformative change. Their contributions to conservation and sustainable use of biodiversity have increasingly become more visible during the past 10 years, including through the publication of Local Biodiversity Outlooks (2020) and the IPBES Global Assessment (2019a) and the Kunming-Montreal Global Biodiversity Framework – See Recognition of rights in the Kunming-Montreal Global Biodiversity Framework targets 1, 3, 5, 9, 13, 21, 22, 23 as well as Section C as cross-cutting considerations for the whole Framework covering Rights and contributions of Indigenous Peoples and local communities, Whole-of-government and whole-of-society approach, Human rights-based approach, Diverse knowledge systems and Gender and Intergenerational equity; and Recognition and support for Community-based monitoring and information systems and tools e.g., Indigenous Navigator and citizen science.

Local Biodiversity Outlooks highlights stories of resilience by Indigenous Peoples and local communities addressing underlying drivers of rapid declines in biological and cultural diversity. Each account speaks to inter-generational visions and commitments to building better futures through solidarity and collective actions towards renewal of nature and cultures.

This emerging narrative of transformation is grounded in collective reflections on historical colonization and deepening understandings of contemporary confrontations with State and corporate powers pursuing extractivism and profit accumulation which underpin the current social-ecological crises.",Knowledge co-creation,"Systems, Empowerment"
TCA3_057,Table SM.3.57,Transdisciplinary research,"Transdisciplinary research is knowledge (co)creation that brings together disciplines; extends beyond academic disciplines into other forms of knowledge (e.g., practice, religious, Indigenous, traditional); and challenges the worldviews on which such disciplines are based. It is fundamentally normative, asking questions about what should be, rather than what is and co-creating solutions to achieve these values (Max-Neef, 2005). Transdisciplinary research implies researchers to reflect and deconstruct their own assumptions and ideas (Augsburg, 2014). Conducting transdisciplinary research often includes a period of time at the beginning of enquiries to build capacities, shared understandings and trust amongst participants (Horcea-Milcu et al., 2023). Following this phase 0, transdisciplinary research often entails stages of problem framing, analysis and integration for impact to research and practice (Lang et al., 2012). These phases are not linear and are iterative, requiring continued reflection and readjustment to emerging knowledge and understanding. Transdisciplinary research contributes to understandings of transformative change in 4 main ways. Firstly, transdisciplinary research could transform the worldviews, mindsets and understandings of those who are participating in the process (Augsburg, 2014). Secondly, transdisciplinary research is often enacted as a part of creating transformative change with communities. Thirdly, transdisciplinary research is increasingly the approach taken by researchers within sustainability science as part of exploring processes of transformative change. And fourthly, true transdisciplinary research implies broader transformations of knowledge systems (e.g., funding mechanisms, framings of legitimate knowledge, etc.) to be effectively undertaken (Fazey et al., 2021). It thus challenges the dominant hegemony of quantitative, western knowledges for ‘evidence’-informed policy and action.",Knowledge co-creation,"Empowerment, Structural"
TCA3_058,Table SM.3.58,Transformative innovation policy,"In recent decades, policymakers and researchers have focused on science, technology and innovation as key drivers for economic growth, innovation and job creation. Transformative innovation policy, also known as the third frame for innovation policy, emerged in the early twenty-first century, responding to the pressing environmental and social challenges, aiming at long-term transformation (Schot et al., 2018). Transformative innovation policy builds on previous innovation policy frames (research and innovation and systems innovation), acknowledging their role in building knowledge, upgrading technology and enhancing productive capacity, but recognizing their limitations on giving a clear directionality (towards just sustainable development) and recognizing upfront and ex-ante unintended consequences of innovation (Schot & Steinmueller, 2018).

To craft a policy that effectively addresses social and environmental needs and brings about transformation on both national and regional scales, the science, technology and innovation policy could shift focus and adopt new characteristics. Drawing from the sustainability transitions literature (Gren & Andersson, 2018), transformative innovation policy prioritizes the transformation of socio-technical systems, incorporating concepts like experimental delivery, directional focus and inclusivity. Every economy relies on numerous socio-technical systems that serve critical societal functions such as the provision of energy, food,

healthcare, mobility and communication. Transformative innovation policy seeks to redirect these systems towards greater sustainability.

Furthermore, transformative innovation policy began to broaden its understanding of innovation including civil society and citizens as not only consumers and adopters of innovation but as promotors and sources for innovations that address social and environmental needs. It advocates for bottom-up open innovation spaces where radical alternatives to the dominant unsustainable and unfair practices evolve, involving more actors in this space and engaging them in a participatory way. This would lead to carving out directionality portfolios and sustainable pathways for moving forward (Weber & Rohracher, 2012). This is not an easy and consensus-driven process but a political one (Stirling, 2015).","Knowledge co-creation, Structural","Systems, Science-Technology"
TCA3_059,Table SM.3.59,Epistemic communities,"Epistemic communities theory comes from international relations and focuses on the influence of scientists and experts on public policy and international cooperation (P. Haas, 1992, 2015). While it has predominantly studied environmental issues, it extends to public health, particularly COVID-19, education and international political economy.

Epistemic communities are defined as groups of individuals who share common causal understandings, normative commitments, common truth tests and are engaged in a collective policy project.

Under conditions of uncertainty and complexity decision makers are likely to defer to those with a reputation for authoritative expertise in the wake of a publicly recognized threat, often triggered by a crisis or disaster. Epistemic communities, due to their substantive knowledge, are likely to provide better public policy advice which is capable of accurately recognizing the policy characteristics of an issue and able to provide policy advice which is likely to work, unlike traditional political responses to crises, which tend to rely on business-as-usual approaches, or to apply public policies which are politically attractive.

Concretely, epistemic communities are associated with international regimes and treaties which are effective (P. Haas, 2017). They are most likely to be influential when they satisfy a set of conditions: they enjoy a reputation for impartial expertise, they confer “usable” knowledge which is politically salient, timely and useful at geographic and temporal scale; they are organized into standing science policy interface panels, they are able to set their own agendas, they are recruited on merit and they enjoy distance from governments (P. Haas, 2017). The IPCC, although it has produced authoritative science about climate change which keeps the issue on the international agenda, has not clearly impacted national decision-making, in part because the governments control the summary for policymakers and governments appoint the IPCC experts (P. Haas, 2004).",Science and Technology,"Knowledge co-creation, Systems, Structural"
TCA3_060,Table SM.3.60,Inclusive innovation,"The last two decades have been characterized by recurrent economic and social crises. The COVID-19 pandemic has affected already fragile systems of employment around the world. In many countries worldwide, opportunities for decent work have declined, fair income and security in the workplace have been undermined, social protection for families and better prospects for personal development and social integration have been reduced. Meanwhile the COVID-19 crisis has also accelerated top-down technological innovations. These include apps and online platforms which enable new forms of communication, interactive learning and employment. But they also feature automated machine technologies, such as robots and artificial intelligence, which potentially worsen the precarious position of 1.8 billion low-skilled workers worldwide by putting their jobs at risk (Solórzano et al., 2013; World Bank, 2019). Some of these excluded workers and/or their low-income communities try to collectively respond to crises by innovating in inclusive ways and thereby initiating transformative change.

Innovation is inclusive when the interests and the aspirations of low-income and marginalized communities are taken on board in processes of knowledge generation and exploitation for addressing basic needs. This theoretical agenda occupies the intellectual space between innovation, development and poverty alleviation studies (Pansera & Owen, 2018). It recognizes that social exclusion and inequality have often resulted from disruptive technological innovations and production processes. These are generally top-down, expensive capital-intensive innovations which tend to exclude the interests and aspirations of lower-income and marginalized people. Crises such as Covid-19 exacerbate socioeconomic exclusion and marginalization for ‘bottom of the pyramid’ communities. In order to provide more socially equitable, solidaristic alternatives, the concept of ‘inclusive innovation’ emphasizes accessible novelty, namely: grassroots innovations and production processes which accommodate the needs of lower-income people, enhancing their capabilities and skills, improving their welfare and potentially empowering them (Arocena & Sutz, 2003; Chataway et al., 2014; Cozzens, 2007; Kaplinsky et al., 2009; Levidow & Papaioannou, 2018; Papaioannou, 2018; Prahalad, 2004).","Science and Technology Solutions, Knowledge co-creation",Empowerment
TCA3_061,Table SM.3.61,Sociotechnical infrastructures,"Sociotechnical infrastructures are the emergent systems that organize people and technologies such as databases, information systems, maps, metrics, instruments and more to enable a wide range of actors to know and act in specific ways regarding all kind of contemporary matters including biodiversity loss and nature’s decline (Blok et al., 2016). This theory comes from the pioneering work of Susan Leigh Star (1999), who extensively studied the interrelated influence of technological systems and people (thereby the adjective “sociotechnical”) in helping to stabilize particular orderings that can be open to transformation and change. In this way, the approach takes infrastructures as much more than roads, railroads, bridges and so on. Or as Larkin (2013) has argued, sociotechnical infrastructures are the objects that create the grounds on which other objects operate, so they are things and also the relation between things. Sociotechnical infrastructures theories then, highlight the forms of politics and intervention shaped by these systems

(Harvey et al., 2016), since they create in/exclusions that affect the ability of certain kinds of knowledge to count and certain kinds of actors to act in how transformative change occurs. This theory then contributes to understand transformative change by integrating the technical and social aspects involved in the ongoing material transformation of the world and its elements. As contemporary scholarship on sociotechnical infrastructures has pointed out, this concept has important implications to capture the ontological dimension of transformative change, since it helps to trace how multiple agents, including humans and non-humans meet, engage, transform and produce realities (Jensen & Morita, 2015).","Science and technology, Systems",Knowledge co-creation
TCA3_062,Table SM.3.62,Technological and scientific constructivism,"The social construction, or shaping, of scientific facts and technology has been a main concern in science and technology studies. Constructivism deals with the constructedness of objects and entities. For example, studies have examined the processes in which large technological systems become established, showing that many human factors play a large role in the promotion, shaping and adapting to systems such as electricity grids, road networks and the internet (Hughes, 1998). Social construction of technology approaches studied how technological artifacts such as bikes are as much results of social processes and preferences as determined by fixed technological constraints and developments, while social construction of scientific knowledge examined the social aspects of science (Bijker et al., 1987; Latour, 1987). These theories point out that scientific and technological developments, which are often naturalized in retrospect, in fact could have developed differently depending on the social context and the human factors involved. An important contribution has been to oppose prevailing technological determinism, i.e. that technology alone drives societal developments. The denaturalization of scientific and technological developments has further opened the way for studies of the politics of science and technology, since different possible developments will benefit or burden actors in different ways (Latour, 2004).",Science and technology,"Knowledge co-creation, Systems, Empowerment"
